course_code,title,description,source
ENGN 0120, Crossing the Chasm by Engineering Design and Strategy,"Whether devising a new approach to spacecraft engineering, composing new music, or launching an innovative new consumer product, the acceptance by our intended audience to innovation is critical to success. While we believe that innovation is generally desirable, the reality is that the great majority of innovations either fail to be accepted or face strong criticism. The course is in part a theoretical framework starting with the concepts outlined in Geoff Moore’s Crossing the Chasm and extended to a broad range of innovation and complete methodology for anticipating points of resistance and for creating strategy to overcome them. Another part is a series of case studies of innovations and their trajectories to eventual acceptance or to failure. Finally, the course is a laboratory experimenting with students’ own ideas for innovation.SprENGN0120S0127338MWF12:00-12:50(01)(R. Fleeter)",Bulletin
ENGN 0120A, Crossing the Consumer Chasm by Design,"Technologies have shaped human life since tools were sticks and flints to today's hydrocarbon powered, silicon managed era. Some spread throughout society; bread, cell phones, airlines, but most never do; personal jet packs, Apple Newton, freeze dried ice cream.Space Tourism, the Segway, electric cars: Can we predict which ones will cross the chasm to broad application? Can we help them to by combining design, engineering, marketing, communications, education, art, and business strategies?Student teams identify potential new products, conceptualize, package, and define their business mode. By plotting their course across the chasm, we confront the cross-disciplinary barriers to realizing benefits from technology.Enrollment limited to 18 first year students.",Bulletin
ENGN 0120B, Crossing the Space Chasm Through Engineering Design,"Five decades of human activity in space have provided the world with instant global communications and positioning, human and robotic exploration of the moon, planets and sun, and a perspective of earth which informs and influences our relationship with our environment. Unlike other technical revolutions space has not transitioned to a commercial, consumer market commodity. Rather its users and applications remain primarily large and institutional. To experience the challenges of engineering design for adoption of innovation, we will work in groups to identify uses of space, and a plan for their implementations, that could help space become “every day”. Through the process of design, we will confront the technical, economic, societal and political barriers to acceptance of innovation and to making new technologies beneficial to a wider range of users. Enrollment limited to 18 first year students.",Bulletin
ENGN 0120C, Power: From Early Engines to the Nuclear-Powered Artificial Heart,"Mechanical and electrical power have been source of major changes in civilization in last 250 years. This course starts from introduction to animal muscle power and harnessing nature to steam and later sources of power and applications, examining not only the technologies but also the people who developed them and the social and political impacts, ranging up to the nuclear-powered artificial heart. Enrollment limited to 19 first year students.",Bulletin
ENGN 0120D, Strategies for Creative Process: Design Topics,"There is no one simple methodology for creative thinking. Creative thinking is a critical response to the world around us - to our curiosities and interests, to the questions our observations generate, to the ways we frame problems, and to the strategies we develop for translating what we imagine into objects and experiences. Working as artist/designers, making things within a studio environment, we will examine various approaches for the development and refinement of our creative processes as we establish a technical and conceptual foundation for the design and fabrication of objects and experiences. Enrollment limited to 15 first year students.",Bulletin
ENGN 0130, The Engineer's Burden: Why Changing the World is Difficult,"We will examine the assertion that most of the changes that have improved people's lives are essentially technological and then we will look at the difficulties in creating sustainable and beneficial change. Topics of interest include unintended consequences, failure to consider local culture, and engineering ethics. Many, but not all, of the examples will have a third world context. The engineering focus will be on infrastructure--housing, water and sanitation, transportation, and also mobile devices as used in health care and banking.",Bulletin
ENGN 0150, Principles of Chemical and Atomistic Engineering,"This course introduces students to core concepts of chemical and molecular engineering. Students will learn to formulate, derive, and solve material and energy balances for chemical systems. Examples will be drawn from diverse application areas that are relevant to chemical engineering in the twenty-first century. These examples will emphasize how to break down complex problems into simpler components, how to derive the governing equations from first principles, and how to obtain the solution using numerical methods. Students will learn fundamentals of molecular modeling methods, and how atomistic techniques can be applied to engineering problems. The course is appropriate for students concentrating in any field of engineering, or related fields such as chemistry, physics, or biology.",Bulletin
ENGN 0230, Surveying,"Theory and practice of plane surveying; use of the tape, level, transit, stadia, and plane table; triangulation and topography. Lectures, field work, and drafting. Recommended for students interested in civil engineering. Hours arranged. Time required, about 10 hours. Audit only.",Bulletin
ENGN 0240, Biomedical Engineering Design and Innovation,"This course is an incubator for innovative ideas in biomedical design. Students across all disciplines are invited to collaborate with biomedical engineers to enhance the development of design solutions that address clinical and public health concerns. Students will form teams with their peers and a clinical advisor, identify and define a design project to meet a clinical need, and engage in the design process throughout the semester. Engineering concentrators should register forENGN 1240.FallENGN0240S0118828MW8:30-9:50(09)(A. Tripathi)",Bulletin
ENGN 0250, Biomedical Engineering Design and Innovation II,"This course is an incubator for innovative ideas in biomedical design. Students across all disciplines are invited to collaborate with biomedical engineers to enhance the development of design solutions that address clinical and public health concerns. Student teams formed in the previous semester will continue develop a design project based on an unmet clinical need with a clinical advisor, gaining hands-on process experience and generating innovative solutions. Engineering concentrators should register forENGN 1250.SprENGN0250S0126626Th4:00-6:30(17)(C. Kofron)",Bulletin
ENGN 0310, Mechanics of Solids and Structures,"Mechanical behavior of materials and analysis of stress and deformation in engineering structures and continuous media. Topics include concepts of stress and strain; the elastic, plastic, and time-dependent response of materials; principles of structural analysis and application to simple bar structures, beam theory, instability and buckling, torsion of shafts; general three-dimensional states of stress; Mohr's circle; stress concentrations. Lectures, recitations, and laboratory. Prerequisite:ENGN 0040.FallENGN0310S0117011MWF9:00-9:50(09)(D. Henann)FallENGN0310C0117012T9:00-9:50(D. Henann)FallENGN0310C0217013T12:00-12:50(D. Henann)",Bulletin
ENGN 0350, Art Fluid Engineering,"Art can be defined in many different ways, such as: Art is the action to produce objects with no practical use, whose only purpose is to be beautiful or stimulate the intellect in some way. Engineering, on the other hand, is a discipline that uses science to produce devices or processes that are intrinsically useful. We will combine two contrasting views to create objects with aesthetic value and can be useful. We will use fluid flows to create art. Discussions in which a ‘fluid’ idea is presented, and contrasting scientific/engineering and artistic analysis will be conducted. Students will identify a flow problem to create art: dynamic sculptures, paintings, videos, installations. Art pieces will be presented at the end of the semester and exhibited publicly. Engineering Students: Enroll inENGN 1350for advanced engineering credit with a prerequisite and scaled expectations.",Bulletin
ENGN 0410, Materials Science,"Relationship between the structure of matter and its engineering properties. Topics: primary and secondary bonding; crystal structure; atomic transport in solids; defects in crystals; mechanical behavior of materials; phase diagrams and their utilization; heat treatment of metals and alloys; electrical and optical properties of materials; strengthening mechanisms in solids and relationships between microstructure and properties. Lectures, recitations, laboratory.FallENGN0410S0110283TTh2:30-3:50(12)(L. Caretta)FallENGN0410C0117014M4:30-5:50(F. Lin)FallENGN0410C0217015W4:30-5:50(L. Caretta)FallENGN0410C0317016M6:00-7:20(F. Lin)",Bulletin
ENGN 0490, Fundamentals of Environmental Engineering,"This course presents a broad introduction to environmental engineering, and will help students to explore environmental engineering as an academic major and as career option. The course covers topics in environmental engineering: chemistry fundamentals, mass balance, air pollution, water pollution, sustainable solid waste management and global atmospheric change. The course is essential for the environmental engineering students who are planning to take more advanced courses in environmental engineering. This course is also for the students in other engineering disciplines and sciences, who are interested in environmental constraints on technology development and practice, which have become increasingly important in many fields.FallENGN0490S0117017TTh1:00-2:20(06)(I. Kulaots)FallENGN0490S0117017Th1:00-2:20(06)(I. Kulaots)",Bulletin
ENGN 0500, Digital Computing Systems,"Computers are so ubiquitous in modern technology that it is important to build a solid understanding of how computing machines are designed. We will work where software and hardware intersect, and introduce digital logic design, finite state machines, stored-program CPUs, digital data types, assembly language programming, compiler concepts and the C language. We will design digital logic and program modern RISC microprocessors similar to those in cell phones. We encourage all freshmen and sophomores interested in computing, and we welcome students from all Brown concentrations. It is assumed that students have some prior exposure to basic computer programming concepts.",Bulletin
ENGN 0510, Electricity and Magnetism,"Fundamental laws of electricity and magnetism and their role in engineering applications. Concepts of charge, current, potential, electric field, magnetic field. Resistance, capacitance, and inductance. Electric and magnetic properties of materials. Electromagnetic wave propagation. Lectures, recitation, and laboratory. Prerequisites:ENGN 0030,0031,0032orPHYS 0070;ENGN 0040orPHYS 0160(previously 0080);MATH 0180or0200; andAPMA 0330or0350(may be taken concurrently).FallENGN0510S0110287MWF10:00-10:50(14)(J. Xu)FallENGN0510C0117019M2:00-2:50(J. Xu)FallENGN0510C0217020W2:00-2:50(J. Xu)FallENGN0510C0317021F2:00-2:50(I. Stuopis)FallENGN0510C0419737W12:00-12:50(A. Korotkov)FallENGN0510C0519749F12:00-12:50(A. Korotkov)",Bulletin
ENGN 0520, Electrical Circuits and Signals,"An introduction to electrical circuits and signals. Emphasizes the analysis and design of systems described by ordinary linear differential equations. The frequency domain is introduced early and stressed throughout. Other topics include circuit theorems, power transfer, transient analysis, Fourier series, Laplace transform, a brief intro to diodes and transistors, and a little control theory. There is a lecture on engineering ethics. Laboratories apply concepts to real problems in audio and controls. Lectures, recitation, and laboratory. Prerequisite:MATH 0180orMATH 0200, courses may be taken concurrent toENGN 0520.SprENGN0520S0120265MWF10:00-10:50(03)(J. Rosenstein)SprENGN0520C0126202T9:00-10:20(J. Rosenstein)SprENGN0520C0226203T1:00-2:20(J. Rosenstein)SprENGN0520C0326204Th9:00-10:20(J. Rosenstein)SprENGN0520C0426205Th1:00-2:20(J. Rosenstein)",Bulletin
ENGN 0610, Systems Thinking,"Systems Thinking links theory and practice to better understand and improve the world around us. It examines the nature of systems in nature, society, and engineering, and applies interdisciplinary lenses to explore important global challenges like those tied to climate change, energy, health, and supply chains. This holistic approach provides both a strategic and practical means to visualize, analyze, and design solutions to improve performance. Students will engage in activities to discover how complex patterns of behavior can arise from simple structures and simple rules and draw on these insights to develop a deeper understanding of how people, process, and purpose align to get things done. In sum, this course helps students see systems in a whole new light, develop mental toolkits for analyzing tough issues, model their structure and behavior, and understand how and why change happens.FallENGN0610S0117022MW8:30-9:50(09)(R. Morales)",Bulletin
ENGN 0620, Design Brief,"This course introduces students to the theory and practice of engineering design. Topics include conceptual frameworks that ground the design process, the application of engineering concepts to inform design decisions, visual and written representation and communication, and the practice of design engineering.SprENGN0620S0125840WF9:30-12:00(05)(D. Harris)",Bulletin
ENGN 0720, Thermodynamics,"An introduction to macroscopic thermodynamics and some of its engineering applications. Presents basic concepts related to equilibrium and the zeroth, first and second laws for both closed and open systems. Examples include analysis of engines, turbines, and other engineering cycles, phase equilibrium and separation processes, chemical reactions, surface phenomena, magnetic and dielectric materials. Lectures, recitations, and laboratory. Prerequisites:ENGN 0030orENGN 0040or equivalent;ENGN 0410orCHEM 0330. An understanding of intermediate calculus is recommended, such asMATH 0180orMATH 0200.SprENGN0720S0120261TTh10:30-11:50(09)(G. Palmore)SprENGN0720C0126198W1:00-1:50(I. Kulaots)SprENGN0720C0226197W2:00-2:50(G. Palmore)",Bulletin
ENGN 0810, Fluid Mechanics,"Properties of fluids, dimensional analysis. Fluid statics, forces on submerged surfaces, kinematics. Conservation equations. Frictionless incompressible flows, Euler's equations, Bernoulli's equation: thrust, lift, and drag. Vorticity and circulation. Navier-Stokes equation, applications. Laminar and turbulent boundary layers, flow separation. Steady one-dimensional compressible flow. Sound, velocity, flow with area change, normal shocks. Lectures, laboratory. Prerequisites:MATH 0180or0200,ENGN 0040orPHYS 0050orPHYS 0070,APMA 0330orAPMA 0350(can be concurrent).FallENGN0810S0117023MWF1:00-1:50(08)(R. Zenit)FallENGN0810C0117024T1:00-2:20(M. Martinez Wilhelmus)FallENGN0810C0217025Th1:00-2:20(M. Martinez Wilhelmus)FallENGN0810C0319445Th7:00-8:20PM(R. Zenit)",Bulletin
ENGN 0860, Boat Building Design & Culture,"This course introduces the study of the design, engineering, work, material culture and history through the construction of a traditional workboat, a Maine Peapod. As the class builds the boat, we’ll gain hands-on understanding of issues of engineering, design, skill, and workmanship. We will do historical research and visit museums to gain insight into the history of small craft and their builders/users from the nineteenth century to the present. Throughout the course, we will consider philosophical issues of tradition, creativity, and knowledge in engineering and making. Three longer writing assignments and an ongoing journal will connect hands-on work and research.",Bulletin
ENGN 0900, Managerial Decision Making,"Ways of making effective decisions in managerial situations, especially situations with a significant technological component; decision analysis; time value of money; competitive situations; forecasting; planning and scheduling; manufacturing strategy; corporate culture. Lectures and discussions. Prerequisite:ENGN 0090orMATH 0100.SprENGN0900S0125836TTh10:30-11:50(09)(T. Chaltas)",Bulletin
ENGN 0930A, Appropriate Technology,"Our goal for this course is that you leave it with the ability to think and act rationally and concretely on issues of technology and the human condition. We will provide background on useful technologies (e.g. wind, solar, hydro), techniques to fabricate them, and an opportunity to explore the obstacles to their implementation.",Bulletin
ENGN 0930C, DesignStudio,"DESIGNSTUDIO is a course open to students interested in learning through making. Working in a studio environment, we will iteratively design, build, and test projects, as we imaginatively frame design problems, and develop novel strategies for addressing those problems. We will explore design thinking, creative collaboration, exploratory play, ideation, iteration, woodworking, prototyping, CNC milling and laser cutting – in addition to other strategies that enhance our creative processes - as we establish a technical and conceptual foundation for the design and fabrication of objects and experiences. Enrollment limited to 16. Instructor permission required.",Bulletin
ENGN 0930L, Biomedical Engineering Design and Innovation,"This course is an incubator for innovative ideas in biomedical design. Students across all disciplines are invited to collaborate with biomedical engineers to enhance the development of design solutions that address clinical and public health concerns. Students will form teams with their peers and a clinical advisor, identify and define a design project to meet a clinical need, and engage in the design process throughout the semester. Engineering concentrators should register for ENGN1930L.",Bulletin
ENGN 0931, Internet of Everything,"The Internet can be visualized as Internet of information, Internet of people, Internet of places and most importantly the Internet of “things.” Internet of Everything includes these four paradigms. In this class, we will learn about how these four ideas can come together to make a difference in the world. We will study the underlying infrastructure that supports Internet, the TCP/IP model, addressing and routing. Experiments and projects in the class would include a tree on the Internet communicating with the sprinkler system only when it is thirsty. Privacy and ethical issues will also be addressed.",Bulletin
ENGN 0931L, Biomedical Engineering Design and Innovation II,"This course is an incubator for innovative ideas in biomedical design. Students across all disciplines are invited to collaborate with biomedical engineers to enhance the development of design solutions that address clinical and public health concerns. Student teams formed in the previous semester will continue develop a design project based on an unmet clinical need with a clinical advisor, gaining hands-on process experience and generating innovative solutions. Engineering concentrators should register forENGN 1931L.",Bulletin
ENGN 1000, Projects in Engineering Design I,"Fall semester projects in design for concentrators in electrical, materials, and mechanical engineering. Students work in teams on projects that are defined through discussions with the instructor. An assembled product or detailed design description is the goal of the semester's effort. Students may elect to combineENGN 1000withENGN 1001to work on a year-long project with permission of the instructor. Students electing to pursue this option must takeENGN 1000andENGN 1001in the same academic year, and must submit a project proposal no later than October 1. Permission of instructor is required. Applicants should fill out this form and attend the first class: https://forms.gle/Fkr8DYyaB2Gse9NZ6FallENGN1000S0117324M3:00-5:30(03)(I. Gonsher)",Bulletin
ENGN 1001, Projects in Engineering Design II,"Spring semester projects in design for concentrators in electrical, materials, and mechanical engineering. Students work in teams on projects defined through discussions with instructor. An assembled product or detailed design description is the goal of semester's effort. Students may elect to combineENGN 1000withENGN 1001to work on a year-long project with permission of the instructor. Students electing to pursue this option must takeENGN 1000andENGN 1001in the same academic year and must have submitted a project proposal by October 1 of the previous Fall semester. Permission of instructor is required. Applicants should fill out this form and attend the first class: https://forms.gle/Fkr8DYyaB2Gse9NZ6SprENGN1001S0125833M3:00-5:30(13)(I. Gonsher)",Bulletin
ENGN 1010, The Entrepreneurial Process,"Entrepreneurship is innovation in practice: transforming ideas into opportunities, and, through a deliberate process, opportunities into commercial realities. These entrepreneurial activities can take place in two contexts: the creation of new organizations; and within existing organizations. This course will present an entrepreneurial framework for these entrepreneurial processes, supported by case studies that illustrate essential elements. Successful entrepreneurs and expert practitioners will be introduced who will highlight practical approaches to entrepreneurial success. Enrollment limited to 35.FallENGN1010S0117341TTh10:30-11:50(13)(D. Warshay)FallENGN1010S0218110MW8:30-9:50(09)(H. Ansari)FallENGN1010S0318111M6:00-8:30PM(03)(J. Cohen)SprENGN1010S0125855TTh10:30-11:50(09)(D. Warshay)SprENGN1010S0226940MW8:30-9:50(02)(M. Donohue)",Bulletin
ENGN 1100, Numerical Methods in Chemical Engineering,"This course focuses on the numerical solution of common problems encountered in engineering with a focus on problems of interest in the chemical sciences. A theoretical background into these methods is essential to their accurate and efficient application. Therefore, this course will provide both theoretical underpinnings as well as practical use of such methods, relying on physical problems from chemical engineering wherever possible. Topics covered include linear algebra, model formulation and nondimensionalization, optimization and nonlinear systems, graph theory, numerical integration, atomistic and molecular simulation, Bayesian inference, and data analysis.SprENGN1100S0126958TTh9:00-10:20(05)(A. Peterson)",Bulletin
ENGN 1105, Numerical Methods in Chemical Engineering,"This course focuses on the numerical solution of common problems encountered in engineering, with a focus on problems of interest in the chemical sciences. A theoretical background into these methods is essential to their accurate and efficient application. Therefore, this course will provide both theoretical underpinnings as well as practical use of such methods, relying on physical problems from chemical engineering wherever possible. Topics covered include linear algebra, model formulation and nondimensionalization, optimization and nonlinear systems, graph theory, numerical integration, atomistic and molecular simulation, Bayesian inference, and data analysis. Sophomore level and above.",Bulletin
ENGN 1110, Transport and Biotransport Processes,"Aim: To develop a fundamental understanding of mass transport in chemical and biological systems. The course includes: mechanism of transport, biochemical interactions and separations; mass transport in reacting systems; absorption; membrane and transvascular transport; electrophoretic separations; pharmacokinetics and drug transport; equilibrium stage processes; distillation and extraction. Other features: design concepts; modern experimental and computing techniques; laboratory exercises. Prerequisites:APMA 0350.SprENGN1110S0120256MWF2:00-2:50(07)(T. Raimondo)",Bulletin
ENGN 1120, Reaction Kinetics and Reactor Design,"Mechanisms, driving forces, and rate expressions of homogeneous and heterogeneous chemical and biochemical systems. Kinetics described from the potential energy surface to reaction networks. Basic concepts in reactor design and idealized reactor models. Chemostats and enzymatic reactors. Optimization. Temperature and energy effects in reactors. Catalysts and coupled transport effects. Prerequisite:ENGN 0720or equivalent. Offered in alternate years.",Bulletin
ENGN 1130, Chemical and Statistical Thermodynamics,"Application and derivation of the laws of thermodynamics, built from the atomic scale up. Basic statistical mechanics treatment of chemical thermodynamics, and an in-depth treatment of the calculus of thermodynamics. Driving forces for atomic and macroscopic processes. Phase and chemical equilibria and partitioning of species in multiphase and reactive systems. Applications and examples drawn from chemical processing and environmental problems. Prerequisite:ENGN 0720or equivalent. Offered in alternate years.FallENGN1130S0117313TTh10:30-11:50(13)(J. Zeng)",Bulletin
ENGN 1140, Chemical Process Design,"Chemical process synthesis, flow charting, and evaluation of design alternatives. Process equipment sizing as determined by rate phenomena, economics, and thermodynamic limitations. Introduction to optimization theory. Applications of these principles to case studies. Prerequisites or Corequisites:ENGN 1110,1120,1130.SprENGN1140S0126200TTh6:40-8:00PM(18)(D. Olson)",Bulletin
ENGN 1150, Environmental Engineering Design,"Capstone engineering design course for Environmental Engineering. The course will involve introducing students to environmental contamination scenarios, developing responses to that scenario, e.g., developing methods to assess the extent of the problem, to designing actual remediation or mitigation strategies to address the problem. Coursework relies on laboratory measurements, computer modeling or both. Emphasis on conducting realistic assessments of the threat to human and ecological receptors, including learning about any relevant regulations, an evaluation of strategies to minimize negative impacts, and consideration of both the costs and timescales needed for implementing alternatives. Prerequisites:ENGN 0490,ENGN 0720,ENGN 0810.SprENGN1150S0125847TTh6:40-8:00PM(18)(K. Pennell)",Bulletin
ENGN 1210, Biomechanics,"Important foundations of continuum biomechanics, properties of biomaterials, three-dimensional concepts of strains and stress, linear isotropic elasticity, anisotropic response, yield, fracture, fatigue, nonlinear elastic and viscoelastic response of biological materials/structures and biomedical implants/devices will be taught. Students will learn physical basis, theory and applications of each of these topics for biomedical engineering applications. Muscle biomechanics, biomechanics of walking and running, and response of soft tissue and bone will be discussed.SprENGN1210S0120255TTh2:30-3:50(11)(V. Srivastava)",Bulletin
ENGN 1220, Neuroengineering,"Course Goals: To develop an advanced understanding of how signals are generated and propagated in neurons and neuronal circuits, and how this knowledge can be harnessed to design devices to assist people with neurologic disease or injury. Fundamental topics in neuronal and neural signal generation, recording methods, and stimulation methods. Clinical/Translational topics include multiple clinically available and emerging neurotechnologies. Prerequisites:NEUR 0010andENGN 0510; or instructor permission, which may be provided after discussion with course faculty.SprENGN1220S0120252TTh1:00-2:20(08)(A. Nurmikko)",Bulletin
ENGN 1230, Instrumentation Design,"Sensors for pressure, temperature, blood flow, muscle and neural activity. Amplifiers, filters, and A/D-D/A converters. The use of computers in monitoring and controlling physiological processes. Feedback controllers for temperature, flow rate, and experimental stimuli. Intended as a design course primarily for biomedical engineers. Lab times to be arranged.FallENGN1230S0110276MWF10:00-10:50(14)(D. Borton)",Bulletin
ENGN 1240, Biomedical Engineering Design and Innovation,"This course is the culmination “capstone” of the biomedical engineering educational experience. The primary objective of this course is to recall and enhance design principles introduced through the engineering core curriculum and to apply this systematic set of engineering design skills to biomedical engineering projects. Students will form teams with their peers and a clinical advisor, identify and define a design project to meet a clinical need, and engage in the design process through the course of the semester. For seniors only. Non-engineering concentrators should register forENGN 0240.FallENGN1240S0118829MW8:30-9:50(09)(A. Tripathi)",Bulletin
ENGN 1250, Biomedical Engineering Design and Innovation II,"This course is part two of the culmination “Capstone” of the biomedical engineering educational experience. The primary objective of this course is to recall and enhance design principles introduced through the engineering core curriculum and to apply this systematic set of engineering design skills to biomedical engineering projects. Student teams formed in the previous semester will continue develop a design project based on an unmet clinical need with a clinical advisor, gaining hands-on process experience and generating innovative solutions. For seniors only. Non-engineering concentrators should register forENGN 0250.SprENGN1250S0126627Th4:00-6:30(17)(I. Wong)",Bulletin
ENGN 1300, Structural Analysis,"Classical and modern methods of analysis for statically indeterminate structures. Development of computer programs for the analysis of civil, mechanical, and aerospace structures from the matrix formulation of the classical structural theory, through the direct stiffness formulation, to production-type structural analysis programs. Introduction to Finite Element Methods (FEM) and Isogeometric Analysis (IGA). Prerequisite:ENGN 0310.SprENGN1300S0125827TTh1:00-2:20(08)(Y. Bazilevs)",Bulletin
ENGN 1310, Planning and Design of Systems,No description available.,Bulletin
ENGN 1340, Water Supply and Treatment Systems - Technology and Sustainability,"This course provides a comprehensive overview of engineering approaches how to protect water quality. Class begins with brief introduction to hydrological cycle. More in detail groundwater flows (Darcy eq.-n) and flows into wells are examined. Principles of hydraulics are presented. Open channel and river flows, flood routing and preventing are presented. Freshwater and wastewater treatment technologies, together with advanced water treatment processes, are evaluated. Course ends with the visit to a local wastewater treatment plant. Prerequisites:CHEM 0330andENGN 0040. RecommendedENGN 0810.SprENGN1340S0126959M3:00-5:30(13)(K. Pennell)",Bulletin
